timestamp,queueId,userId,status,email,creditsEarned,error,failedStep,domain,referralLink
2026-01-04T23:05:34.443Z,queue-1,1,failed,bruna9144barbosa@funcionariosartificiais.com,0,"browserType.launchPersistentContext: Executable doesn't exist at /Users/denisfeitozadejesus/Library/Caches/ms-playwright/chromium-1200/chrome-mac-arm64/Google Chrome for Testing.app/Contents/MacOS/Google Chrome for Testing
╔═════════════════════════════════════════════════════════════════════════╗
║ Looks like Playwright Test or Playwright was just installed or updated. ║
║ Please run the following command to download new browsers:              ║
║                                                                         ║
║     npx playwright install                                              ║
║                                                                         ║
║ <3 Playwright Team                                                      ║
╚═════════════════════════════════════════════════════════════════════════╝",Cadastro,funcionariosartificiais.com,https://lovable.dev/signup?referral_code=FDKI2B1
2026-01-04T23:05:34.458Z,queue-1,3,failed,leticia7653fernandes@vindia.com.br,0,"browserType.launchPersistentContext: Executable doesn't exist at /Users/denisfeitozadejesus/Library/Caches/ms-playwright/chromium-1200/chrome-mac-arm64/Google Chrome for Testing.app/Contents/MacOS/Google Chrome for Testing
╔═════════════════════════════════════════════════════════════════════════╗
║ Looks like Playwright Test or Playwright was just installed or updated. ║
║ Please run the following command to download new browsers:              ║
║                                                                         ║
║     npx playwright install                                              ║
║                                                                         ║
║ <3 Playwright Team                                                      ║
╚═════════════════════════════════════════════════════════════════════════╝",Cadastro,vindia.com.br,https://lovable.dev/signup?referral_code=FDKI2B1
2026-01-04T23:05:34.462Z,queue-1,4,failed,agomes1986@socialmediadebolso.com,0,"browserType.launchPersistentContext: Executable doesn't exist at /Users/denisfeitozadejesus/Library/Caches/ms-playwright/chromium-1200/chrome-mac-arm64/Google Chrome for Testing.app/Contents/MacOS/Google Chrome for Testing
╔═════════════════════════════════════════════════════════════════════════╗
║ Looks like Playwright Test or Playwright was just installed or updated. ║
║ Please run the following command to download new browsers:              ║
║                                                                         ║
║     npx playwright install                                              ║
║                                                                         ║
║ <3 Playwright Team                                                      ║
╚═════════════════════════════════════════════════════════════════════════╝",Cadastro,socialmediadebolso.com,https://lovable.dev/signup?referral_code=FDKI2B1
2026-01-04T23:05:34.468Z,queue-1,5,failed,paulo.araujo0143@outlierconsorcios.com,0,"browserType.launchPersistentContext: Executable doesn't exist at /Users/denisfeitozadejesus/Library/Caches/ms-playwright/chromium-1200/chrome-mac-arm64/Google Chrome for Testing.app/Contents/MacOS/Google Chrome for Testing
╔═════════════════════════════════════════════════════════════════════════╗
║ Looks like Playwright Test or Playwright was just installed or updated. ║
║ Please run the following command to download new browsers:              ║
║                                                                         ║
║     npx playwright install                                              ║
║                                                                         ║
║ <3 Playwright Team                                                      ║
╚═════════════════════════════════════════════════════════════════════════╝",Cadastro,outlierconsorcios.com,https://lovable.dev/signup?referral_code=FDKI2B1
2026-01-04T23:05:34.477Z,queue-1,6,failed,ricardo.azevedo4002@funcionariosartificiais.com,0,"browserType.launchPersistentContext: Executable doesn't exist at /Users/denisfeitozadejesus/Library/Caches/ms-playwright/chromium-1200/chrome-mac-arm64/Google Chrome for Testing.app/Contents/MacOS/Google Chrome for Testing
╔═════════════════════════════════════════════════════════════════════════╗
║ Looks like Playwright Test or Playwright was just installed or updated. ║
║ Please run the following command to download new browsers:              ║
║                                                                         ║
║     npx playwright install                                              ║
║                                                                         ║
║ <3 Playwright Team                                                      ║
╚═════════════════════════════════════════════════════════════════════════╝",Cadastro,funcionariosartificiais.com,https://lovable.dev/signup?referral_code=FDKI2B1
2026-01-04T23:05:34.488Z,queue-1,7,failed,b.pereira9993@funcionariosdeia.com,0,"browserType.launchPersistentContext: Executable doesn't exist at /Users/denisfeitozadejesus/Library/Caches/ms-playwright/chromium-1200/chrome-mac-arm64/Google Chrome for Testing.app/Contents/MacOS/Google Chrome for Testing
╔═════════════════════════════════════════════════════════════════════════╗
║ Looks like Playwright Test or Playwright was just installed or updated. ║
║ Please run the following command to download new browsers:              ║
║                                                                         ║
║     npx playwright install                                              ║
║                                                                         ║
║ <3 Playwright Team                                                      ║
╚═════════════════════════════════════════════════════════════════════════╝",Cadastro,funcionariosdeia.com,https://lovable.dev/signup?referral_code=FDKI2B1
2026-01-04T23:05:34.554Z,queue-1,8,failed,f.fernandes1827@vindia.com.br,0,"browserType.launchPersistentContext: Executable doesn't exist at /Users/denisfeitozadejesus/Library/Caches/ms-playwright/chromium-1200/chrome-mac-arm64/Google Chrome for Testing.app/Contents/MacOS/Google Chrome for Testing
╔═════════════════════════════════════════════════════════════════════════╗
║ Looks like Playwright Test or Playwright was just installed or updated. ║
║ Please run the following command to download new browsers:              ║
║                                                                         ║
║     npx playwright install                                              ║
║                                                                         ║
║ <3 Playwright Team                                                      ║
╚═════════════════════════════════════════════════════════════════════════╝",Cadastro,vindia.com.br,https://lovable.dev/signup?referral_code=FDKI2B1
2026-01-04T23:05:34.574Z,queue-1,9,failed,francisco8898@socialmediadebolso.com,0,"browserType.launchPersistentContext: Executable doesn't exist at /Users/denisfeitozadejesus/Library/Caches/ms-playwright/chromium-1200/chrome-mac-arm64/Google Chrome for Testing.app/Contents/MacOS/Google Chrome for Testing
╔═════════════════════════════════════════════════════════════════════════╗
║ Looks like Playwright Test or Playwright was just installed or updated. ║
║ Please run the following command to download new browsers:              ║
║                                                                         ║
║     npx playwright install                                              ║
║                                                                         ║
║ <3 Playwright Team                                                      ║
╚═════════════════════════════════════════════════════════════════════════╝",Cadastro,socialmediadebolso.com,https://lovable.dev/signup?referral_code=FDKI2B1
2026-01-04T23:05:34.579Z,queue-1,10,failed,f.cardoso8904@outlierconsorcios.com,0,"browserType.launchPersistentContext: Executable doesn't exist at /Users/denisfeitozadejesus/Library/Caches/ms-playwright/chromium-1200/chrome-mac-arm64/Google Chrome for Testing.app/Contents/MacOS/Google Chrome for Testing
╔═════════════════════════════════════════════════════════════════════════╗
║ Looks like Playwright Test or Playwright was just installed or updated. ║
║ Please run the following command to download new browsers:              ║
║                                                                         ║
║     npx playwright install                                              ║
║                                                                         ║
║ <3 Playwright Team                                                      ║
╚═════════════════════════════════════════════════════════════════════════╝",Cadastro,outlierconsorcios.com,https://lovable.dev/signup?referral_code=FDKI2B1
2026-01-04T23:05:36.436Z,queue-1,2,failed,fernando.m2439@funcionariosdeia.com,0,"browserType.launchPersistentContext: Executable doesn't exist at /Users/denisfeitozadejesus/Library/Caches/ms-playwright/chromium-1200/chrome-mac-arm64/Google Chrome for Testing.app/Contents/MacOS/Google Chrome for Testing
╔═════════════════════════════════════════════════════════════════════════╗
║ Looks like Playwright Test or Playwright was just installed or updated. ║
║ Please run the following command to download new browsers:              ║
║                                                                         ║
║     npx playwright install                                              ║
║                                                                         ║
║ <3 Playwright Team                                                      ║
╚═════════════════════════════════════════════════════════════════════════╝",Cadastro,funcionariosdeia.com,https://lovable.dev/signup?referral_code=FDKI2B1
